case_id,customer_id,signal_id,incident_type,received_at,priority_score_assigned,matched_responder_profession,response_time_minutes,outcome,escalation_required
CASE-0000001,CUST-003668,SIG-0003668,chemical_spill,2025-11-11T18:22:00-06:00,94,firefighter,44,referred_to_social_services,true
CASE-0000002,CUST-001656,SIG-0001656,tornado_damage,2025-10-22T13:12:00-06:00,100,evacuation_driver,67,resolved_on_scene,true
CASE-0000003,CUST-000251,SIG-0000251,wildfire_smoke,2025-08-06T02:23:00-06:00,95,nurse,169,transported_to_hospital,true
CASE-0000004,CUST-000372,SIG-0000372,winter_storm,2025-07-13T16:44:00-06:00,74,nurse,150,referred_to_social_services,true
CASE-0000005,CUST-004901,SIG-0004901,winter_storm,2025-06-15T21:12:00-06:00,84,EMT,142,resolved_on_scene,true
CASE-0000006,CUST-004555,SIG-0004555,extreme_heat,2025-07-22T23:10:00-06:00,83,physician,104,unable_to_reach_first_attempt,true
CASE-0000007,CUST-001348,SIG-0001348,power_outage,2025-07-11T03:51:00-06:00,93,nurse,7,unable_to_reach_first_attempt,true
CASE-0000008,CUST-003684,SIG-0003684,winter_storm,2025-07-12T14:37:00-06:00,75,social_worker,68,referred_to_social_services,true
CASE-0000009,CUST-003865,SIG-0003865,tornado_damage,2025-08-28T21:01:00-06:00,100,search_and_rescue,142,referred_to_social_services,true
CASE-0000010,CUST-000540,SIG-0000540,winter_storm,2025-04-13T19:53:00-06:00,91,physician,121,transported_to_shelter,true
CASE-0000011,CUST-001771,SIG-0001771,power_outage,2025-02-14T19:30:00-06:00,99,nurse,15,referred_to_social_services,true
CASE-0000012,CUST-003124,SIG-0003124,chemical_spill,2025-11-15T20:23:00-06:00,100,search_and_rescue,59,referred_to_social_services,true
CASE-0000013,CUST-004633,SIG-0004633,tornado_damage,2025-09-24T22:35:00-06:00,100,evacuation_driver,123,resolved_on_scene,true
CASE-0000014,CUST-001088,SIG-0001088,extreme_heat,2025-05-24T18:00:00-06:00,80,paramedic,44,transported_to_shelter,false
CASE-0000015,CUST-003275,SIG-0003275,tornado_damage,2025-09-08T17:27:00-06:00,92,evacuation_driver,155,transported_to_shelter,true
CASE-0000016,CUST-003815,SIG-0003815,wildfire_smoke,2025-04-09T15:48:00-06:00,68,nurse,15,referred_to_social_services,false
CASE-0000017,CUST-000093,SIG-0000093,winter_storm,2025-05-08T14:11:00-06:00,76,mental_health_crisis,85,transported_to_hospital,false
CASE-0000018,CUST-003887,SIG-0003887,wildfire_smoke,2025-01-19T04:20:00-06:00,92,social_worker,136,transported_to_shelter,true
CASE-0000019,CUST-004617,SIG-0004617,wildfire_smoke,2025-03-10T07:18:00-06:00,72,social_worker,64,referred_to_social_services,true
CASE-0000020,CUST-004560,SIG-0004560,winter_storm,2025-05-04T21:14:00-06:00,89,nurse,135,unable_to_reach_first_attempt,true
CASE-0000021,CUST-004504,SIG-0004504,extreme_heat,2025-04-17T08:18:00-06:00,100,paramedic,73,unable_to_reach_first_attempt,true
CASE-0000022,CUST-002031,SIG-0002031,power_outage,2025-08-03T19:40:00-06:00,56,paramedic,42,unable_to_reach_first_attempt,false
CASE-0000023,CUST-003578,SIG-0003578,power_outage,2025-03-21T15:27:00-06:00,51,mental_health_crisis,121,resolved_on_scene,false
CASE-0000024,CUST-004328,SIG-0004328,flood,2025-10-04T11:21:00-06:00,85,search_and_rescue,84,unable_to_reach_first_attempt,true
CASE-0000025,CUST-004886,SIG-0004886,power_outage,2025-02-17T11:57:00-06:00,100,nurse,22,resolved_on_scene,true
CASE-0000026,CUST-002617,SIG-0002617,tornado_damage,2025-06-08T23:29:00-06:00,88,physician,105,resolved_on_scene,true
CASE-0000027,CUST-003401,SIG-0003401,flood,2025-07-17T14:37:00-06:00,57,search_and_rescue,47,transported_to_shelter,false
CASE-0000028,CUST-004192,SIG-0004192,power_outage,2025-10-14T14:57:00-06:00,100,nurse,47,unable_to_reach_first_attempt,true
CASE-0000029,CUST-002725,SIG-0002725,flood,2025-10-10T19:54:00-06:00,74,EMT,18,unable_to_reach_first_attempt,true
CASE-0000030,CUST-003413,SIG-0003413,chemical_spill,2025-04-26T14:52:00-06:00,86,firefighter,137,referred_to_social_services,true
CASE-0000031,CUST-003266,SIG-0003266,power_outage,2025-10-01T15:54:00-06:00,59,paramedic,132,unable_to_reach_first_attempt,false
